bus id,source,destination,distance,fare,time,day,date
1,Philips (Ulsoor Lake),Binnamangala,8869,20,22:30,Thursday,20-02-2024
2,Philips (Ulsoor Lake),Benniganahalli,5461,20,05:00,Saturday,22-02-2024
3,Philips (Ulsoor Lake),Cantonment RLWY Station,22815,39,18:50,Tuesday,22-02-2024
4,Philips (Ulsoor Lake),Depot - 10,29207,100,23:40,Tuesday,11-02-2024
5,Philips (Ulsoor Lake),Varthurkodi,27843,95,04:00,Thursday,03-02-2024
6,Philips (Ulsoor Lake),Marathahalli (Jn. Vartur and O,25000,90,19:00,Thursday,23-02-2024
7,Philips (Ulsoor Lake),Raja Rajeshwari Talkies,24278,85,16:10,Saturday,11-02-2024
8,Philips (Ulsoor Lake),Koramangala (Jn. Ejipura RD),33714,42,03:50,Thursday,07-02-2024
9,Philips (Ulsoor Lake),GPO,27762,92,23:50,Sunday,05-02-2024
10,Philips (Ulsoor Lake),Koramangala (80 FT RD),13118,34,01:50,Wednesday,03-02-2024
11,Philips (Ulsoor Lake),Koramangala (SONY World),12156,27,19:20,Thursday,24-02-2024
12,Philips (Ulsoor Lake),Kaggadasapura Jn (Big Bazaar),9359,25,13:00,Thursday,16-02-2024
13,Philips (Ulsoor Lake),K. R. Puram Rlwy Station,13883,40,13:30,Friday,22-02-2024
14,Philips (Ulsoor Lake),ITI Bus Stop,9793,22,22:50,Thursday,18-02-2024
15,Philips (Ulsoor Lake),Vannar Pete,11316,24,04:20,Monday,14-02-2024
16,Philips (Ulsoor Lake),Passport Office,13671,29,14:30,Sunday,24-02-2024
17,Philips (Ulsoor Lake),Ashwath Nagar (Telecom Colony),34576,43,16:20,Friday,19-02-2024
18,Philips (Ulsoor Lake),Hennur Bande,35655,40,18:50,Wednesday,20-02-2024
19,Philips (Ulsoor Lake),8th Mile (Tumkur RD),30515,53,06:50,Saturday,06-02-2024
20,Philips (Ulsoor Lake),White Field Post Office,31554,55,18:10,Friday,05-02-2024
21,Philips (Ulsoor Lake),Amanath Bank Stop,17865,35,22:00,Thursday,20-02-2024
22,Philips (Ulsoor Lake),Hennur Cross,33160,55,06:00,Sunday,21-02-2024
23,Philips (Ulsoor Lake),Venketeshpuram02,17455,35,10:40,Saturday,12-02-2024
24,Philips (Ulsoor Lake),Govardhan Turning,18103,30,05:40,Monday,29-02-2024
25,Philips (Ulsoor Lake),M E I Factory,19651,37,02:40,Tuesday,29-02-2024
26,Philips (Ulsoor Lake),Dasarahalli (Tumkur Rd),19893,39,10:50,Sunday,15-02-2024
27,Philips (Ulsoor Lake),Bowring Institute (SBI),22056,39,10:30,Wednesday,17-02-2024
28,Philips (Ulsoor Lake),Siddapur,26787,39,08:10,Tuesday,04-02-2024
29,Philips (Ulsoor Lake),NGV Center,18050,39,04:50,Friday,28-02-2024
30,Philips (Ulsoor Lake),Koramangala 1st Block,18619,30,04:30,Sunday,05-02-2024
31,Philips (Ulsoor Lake),Coles park,19958,45,03:10,Wednesday,02-02-2024
32,Philips (Ulsoor Lake),Fraser town (Doddi stop),18892,30,02:00,Monday,05-02-2024
33,Philips (Ulsoor Lake),MEI (Tumkur RD),18238,35,13:00,Saturday,05-02-2024
34,Philips (Ulsoor Lake),Jalahalli Cross,19247,37,04:50,Wednesday,14-02-2024
35,Philips (Ulsoor Lake),Basaveshwara Circle (L.H.),22528,37,23:30,Thursday,15-02-2024
36,Philips (Ulsoor Lake),Richmond Circle (Opp Bangalore,23026,38,06:20,Friday,07-02-2024
37,Philips (Ulsoor Lake),Kathariguppe,25162,50,04:20,Sunday,23-02-2024
38,Philips (Ulsoor Lake),Madiwala Masjid,21012,39,16:50,Thursday,03-02-2024
39,Philips (Ulsoor Lake),Adugodi Police Quarters,19849,30,02:40,Wednesday,01-02-2024
40,Philips (Ulsoor Lake),Lake Side Hospital,19305,75,17:20,Saturday,10-02-2024
41,Philips (Ulsoor Lake),Bangalore Club (Richmond Circl,27307,52,10:50,Tuesday,06-02-2024
42,Philips (Ulsoor Lake),Domlur,24406,50,04:40,Tuesday,05-02-2024
43,Philips (Ulsoor Lake),Halasuru (Ulsoor) Lake,23361,50,10:40,Wednesday,27-02-2024
44,Philips (Ulsoor Lake),Yeshwantpur Junction,17481,30,03:30,Tuesday,06-02-2024
45,Philips (Ulsoor Lake),Brigade Road (St Patricks Chur,16491,30,21:00,Wednesday,07-02-2024
46,Philips (Ulsoor Lake),Kogillu Cross,17852,40,13:40,Friday,27-02-2024
47,Philips (Ulsoor Lake),Jeevanbhima Nagar,20136,47,12:00,Wednesday,09-02-2024
48,Philips (Ulsoor Lake),Indira Nagar Police Station,18735,35,06:20,Thursday,28-02-2024
49,Philips (Ulsoor Lake),J.C. Nagar,20302,40,17:00,Wednesday,29-02-2024
50,Philips (Ulsoor Lake),K.G. Halli,13947,35,09:00,Wednesday,14-02-2024
51,Philips (Ulsoor Lake),Govindapura Cross,12974,20,04:40,Tuesday,10-02-2024
52,Philips (Ulsoor Lake),Arabic college,12591,20,11:00,Thursday,26-02-2024
53,Philips (Ulsoor Lake),Kengeri,12257,20,10:40,Saturday,06-02-2024
54,Philips (Ulsoor Lake),Mylasandra (Mysore Raod),12847,20,03:20,Monday,01-02-2024
55,Philips (Ulsoor Lake),Corporation (Kalinga RD),14216,20,02:40,Friday,09-02-2024
56,Philips (Ulsoor Lake),Corporation Office,13948,20,09:40,Monday,14-02-2024
57,Philips (Ulsoor Lake),IIM-B,14898,40,16:50,Sunday,27-02-2024
58,Philips (Ulsoor Lake),Lalbagh Main Gate,17927,75,15:20,Monday,14-02-2024
59,Philips (Ulsoor Lake),Purnima Bus Stop,16258,30,15:00,Thursday,24-02-2024
60,Philips (Ulsoor Lake),G.D. Marra (J.P. Nagar 3rd Ph),17433,40,12:50,Monday,03-02-2024
61,Philips (Ulsoor Lake),BTM Check Post,18127,45,21:20,Sunday,22-02-2024
62,Philips (Ulsoor Lake),BIAL Bus Stop,27080,0,02:50,Thursday,02-02-2024
63,Philips (Ulsoor Lake),Malleshwaram 18th Cross,18314,50,18:20,Sunday,24-02-2024
64,Philips (Ulsoor Lake),Madiwala (Check Post),20149,57,09:40,Friday,29-02-2024
65,Philips (Ulsoor Lake),Bangalore University Gate,16267,70,08:50,Wednesday,02-02-2024
66,Philips (Ulsoor Lake),Panthara palya,16251,67,01:40,Sunday,04-02-2024
67,Philips (Ulsoor Lake),Vinayaka Stop,19040,67,03:30,Friday,18-02-2024
68,Philips (Ulsoor Lake),Jaraganhalli,18818,72,21:10,Thursday,28-02-2024
69,Philips (Ulsoor Lake),Metro Mall (Kanakapura RD),17856,75,17:30,Thursday,22-02-2024
70,Philips (Ulsoor Lake),Sarakki Gate,17817,75,06:10,Tuesday,11-02-2024
71,Philips (Ulsoor Lake),Jayadeva (Opp Shoppers Stop),22232,62,01:00,Saturday,08-02-2024
72,Philips (Ulsoor Lake),Byatarayanapura (Blry RD),22768,62,16:40,Saturday,11-02-2024
73,Philips (Ulsoor Lake),Esteem Mall,34124,55,20:20,Monday,27-02-2024
74,Philips (Ulsoor Lake),Jal Bhavan (Bannerghatta RD),25502,64,17:50,Sunday,20-02-2024
75,Philips (Ulsoor Lake),Kodihalli,26311,90,23:40,Sunday,29-02-2024
76,Philips (Ulsoor Lake),Electric Stop (Manipal Center),32189,61,22:50,Sunday,20-02-2024
77,Philips (Ulsoor Lake),Cunnighama Road,22887,62,18:40,Thursday,11-02-2024
78,Philips (Ulsoor Lake),Jn. of Koramangala 80ft RD,26435,45,09:00,Saturday,17-02-2024
79,Philips (Ulsoor Lake),Bommanahalli,29411,42,07:10,Thursday,13-02-2024
80,Philips (Ulsoor Lake),Hotel Windsor Manor (Le Meride,19386,22,22:50,Tuesday,04-02-2024
81,Philips (Ulsoor Lake),Halasuru (Ulsoor),16917,45,22:20,Friday,01-02-2024
82,Philips (Ulsoor Lake),Taj Residency,18147,47,12:50,Monday,25-02-2024
83,Philips (Ulsoor Lake),Agara,20715,77,12:40,Saturday,10-02-2024
84,Philips (Ulsoor Lake),Accenture,20478,75,14:20,Wednesday,24-02-2024
85,Philips (Ulsoor Lake),Kalyananagar,19051,47,03:50,Tuesday,10-02-2024
86,Philips (Ulsoor Lake),Infosys (Parking Lot),17886,22,21:30,Sunday,02-02-2024
87,Philips (Ulsoor Lake),Corporation (Kasturba Road),23127,32,05:00,Sunday,03-02-2024
88,Philips (Ulsoor Lake),Hotel Le Meridean,25417,95,18:50,Friday,19-02-2024
89,Philips (Ulsoor Lake),Military Accounts Office (Trin,33523,65,06:40,Saturday,16-02-2024
90,Philips (Ulsoor Lake),Command Hospital,29687,54,12:50,Saturday,04-02-2024
91,Philips (Ulsoor Lake),Hotel Leela Palace (Opp Royal,29357,54,00:10,Wednesday,15-02-2024
92,Philips (Ulsoor Lake),Borewell (Marathahali RD),27269,52,16:10,Monday,21-02-2024
93,Philips (Ulsoor Lake),Central Silk Board (Hosur RD),25809,43,15:10,Wednesday,18-02-2024
94,Philips (Ulsoor Lake),Minerva Circle,19945,23,17:30,Monday,27-02-2024
95,Philips (Ulsoor Lake),Marathalli Bridge,22913,45,07:10,Friday,20-02-2024
96,Philips (Ulsoor Lake),HAL Main Gate (OPP),23274,45,20:00,Wednesday,29-02-2024
97,Philips (Ulsoor Lake),Koramangala Water tank,19238,35,14:50,Tuesday,05-02-2024
98,Philips (Ulsoor Lake),Jn.of Sarjapur RD,18132,35,13:20,Sunday,13-02-2024
99,Philips (Ulsoor Lake),Intel,19123,35,22:00,Monday,29-02-2024
100,Philips (Ulsoor Lake),Marathahalli Bridge (ORR),22150,40,18:40,Thursday,15-02-2024
101,Philips (Ulsoor Lake),Chikkalasandra Bus Stand,23846,50,15:50,Tuesday,14-02-2024
102,Philips (Ulsoor Lake),Padmanabhanagara,24589,50,16:30,Tuesday,11-02-2024
103,Philips (Ulsoor Lake),Dalmiya Circle (J.P. Nagar 3rd,21091,85,01:40,Saturday,20-02-2024
104,Philips (Ulsoor Lake),Vijaya College,22959,45,07:10,Friday,24-02-2024
105,Philips (Ulsoor Lake),Kalyananagar,20595,40,15:10,Saturday,20-02-2024
106,Philips (Ulsoor Lake),Kempe Gowda Bus Station,20992,40,17:20,Friday,10-02-2024
107,Philips (Ulsoor Lake),Hotel Grand Ashoka,22093,45,12:30,Tuesday,02-02-2024
108,Philips (Ulsoor Lake),Rajajinagar/Navaranga,27461,52,18:30,Tuesday,26-02-2024
109,Philips (Ulsoor Lake),Malleshwaram Bus Station,25964,50,19:40,Thursday,18-02-2024
110,Philips (Ulsoor Lake),Sadashivanagar Bhashyam Circle,25688,50,07:10,Monday,19-02-2024
111,Philips (Ulsoor Lake),Kuvempu Nagar (BTM Layout),24086,38,09:20,Wednesday,28-02-2024
112,Philips (Ulsoor Lake),Bamboo Bazaar,27140,52,14:10,Thursday,06-02-2024
113,Philips (Ulsoor Lake),Coles RD (Jn. Of Netaji RD),27673,50,23:40,Sunday,25-02-2024
114,Philips (Ulsoor Lake),Venketeshpuram01,28002,52,07:00,Sunday,04-02-2024
115,Philips (Ulsoor Lake),Thanisandra Petrol Bunk,29504,54,18:20,Saturday,28-02-2024
116,Philips (Ulsoor Lake),RK Hegde nagar,30713,54,02:40,Saturday,02-02-2024
117,Philips (Ulsoor Lake),Diamond District,23543,45,09:40,Sunday,18-02-2024
118,Philips (Ulsoor Lake),Shivaji Nagar Bus Station,24490,45,12:10,Tuesday,28-02-2024
119,Philips (Ulsoor Lake),Vasanth Nagar (Ambedkar Bhavan,25421,40,15:10,Sunday,04-02-2024
120,Philips (Ulsoor Lake),K Narayanapura Cross (RK Hegde,27433,52,07:40,Sunday,24-02-2024
121,Philips (Ulsoor Lake),RAK Apartments,25886,95,13:10,Wednesday,17-02-2024
122,Philips (Ulsoor Lake),Thinnasandra,25417,50,17:40,Friday,13-02-2024
123,Philips (Ulsoor Lake),Gubbi Cross,25585,50,20:50,Wednesday,07-02-2024
